0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,label
18518.5950715,-11835.4324797,4723.09196635,-4931.86396889,-6881.46623237,-1331.18419322,-6317.61312715,-5162.34712203,1566.50782976,17303.9556681,-6477.76125974,-556.875514971,1600.6467994,-5763.97375388,-2713.29381463,-2507.60921548,5237.63696762,-5891.71816751,2410.00625361,4284.50481786,930.259607567,-6782.12039957,-8355.56787883,526.580666272,-318.407301673,1158.47717191,3019.89808683,lazy_college_senior
-18868.3766933,-11299.8312997,-8299.38234263,16686.4215843,2013.34762877,-3035.50620516,8609.21097795,-8685.80802013,1737.92561108,375.058928474,-1084.53370207,2849.29621422,-606.118680038,-1537.93579263,546.130975522,-720.445115182,868.097287521,-1072.29403496,828.67355281,748.824623168,-768.758304724,-624.702565963,606.599548119,-322.910277012,-644.22216799,-486.010139434,-295.946428584,advice_god
-2912.53468325,11726.6854119,168.156094383,-4223.66264678,-2490.71505701,439.524074811,476.624257201,-2271.87241684,191.135775937,-6757.45643565,-8831.73282347,-4498.18650127,1476.17195164,-7270.58752171,2448.42218734,6091.0612269,-458.193954942,1583.28966179,110.921430746,2706.59839583,510.735115515,2108.50825206,3493.1555437,1270.73250487,907.885044044,-5274.78572114,2346.70565866,confession_bear
2260.49702825,-12406.405953,1216.20916659,-2374.30285436,-5467.82640761,-1599.8625706,-6584.72263827,827.466606915,1093.76736917,4965.32191498,3518.01974109,3664.95052872,-1907.60552193,-4175.54747874,-3410.95889251,-976.888788555,-4149.74725095,1603.99302535,-1521.74111878,-3530.45943971,-477.263872503,1620.28584471,3892.15037518,-1030.92344157,1012.12104071,-2090.94304243,-2697.74650801,evil_toddler
-15045.0099371,-2057.71492153,-4784.00410274,-4020.38167969,10313.8839871,4289.21617077,4218.62469403,6771.3535454,-2554.96436487,9143.84859436,997.279416267,-4922.12226039,4034.70836497,-227.665146639,2336.79652245,985.279480728,-2881.06355347,-1170.56365356,-484.6997955,-620.561811789,2732.37520802,-251.408609899,164.56276916,-220.750256052,-187.437323193,776.565103155,-930.845527862,college_liberal
-2873.69299551,11147.4731889,-8166.049914,63.2742066198,-5504.98585525,17102.4598545,942.738450594,553.186869617,15610.4903431,-3551.31511474,2636.55279796,-1668.36045703,696.420255125,1241.91348662,-4807.84363907,-879.534179934,3093.79028955,-2812.63541997,1199.04901728,-3754.26507747,1893.40275435,57.3942319121,-3582.72956807,-1563.09193401,746.577525649,-174.620921738,-179.38032431,business_cat
1563.46127908,-13827.1282049,1095.52251061,-1836.85435501,-5073.43805064,-886.949493282,-8450.41524543,1674.77874912,1218.12408464,6333.42254117,4084.68695431,3157.55848349,-2476.01671199,-4717.36889951,-4973.20653792,-1505.43440987,-5478.82314867,1053.96529243,-1590.06130634,-5076.84114042,-2229.15754459,4203.12918841,-378.855622183,-2755.98337557,1952.40403809,-887.573142762,-2636.56490537,evil_toddler
34259.1494751,1913.49453428,-7140.22687653,6202.61784687,7997.54165435,3277.59502591,-3847.64525913,-1082.23415769,1819.88797534,2971.57306964,-1905.31289982,3908.81856288,-2757.18407452,3576.42054849,6792.35572534,1134.07031024,3005.39052874,531.385459914,492.351428689,-3846.71643628,5398.42148238,5280.20959504,5817.40072277,-4267.77481866,-4662.32048348,-7291.02347058,2181.06506459,unpopular_opinion_puffin
-18719.8955005,-10941.9372825,-7556.85537896,16256.8538557,1906.97131317,-2150.80408231,8327.78142622,-9529.37092578,2418.9680283,5.44109930575,-1840.15388041,3667.43725832,-3392.19601878,-360.306763444,947.90438153,-497.365880177,-1727.05971452,-653.664975016,-1111.25531677,363.186269852,-3399.31398178,412.671595118,285.012165786,-199.029303935,1996.86707114,-26.6917496353,-602.404665025,advice_god
-10176.8327443,-4936.92146276,-561.817457775,3186.23271541,-9723.96210491,-4681.27374472,-7293.81578308,-1333.05152555,-3708.16237493,-1744.00020376,9126.90061832,8168.35885033,16453.6467669,5036.60356102,-1146.55927167,12322.9543461,1404.18496095,-3772.36607181,-3161.04263892,2424.43580507,226.46870146,2435.69266631,427.139878171,-1845.58502657,-61.424079289,-960.883280342,441.549002265,religion_pigeon
-17078.8747251,-8717.49795149,-1063.52627121,-573.669630747,1513.19566524,1815.76043997,-1750.28115387,3571.07201097,-2400.90657213,557.324735195,1375.22233641,-719.88083469,-1137.31528289,-765.182117118,-5966.79592771,2383.31789479,-110.340383176,5121.98913236,8010.40669376,-35.9755351505,-814.828004654,-37.6758554037,-1974.14792648,2248.18888215,-997.443411468,3324.71905009,2412.26643357,minor_mistake_marvin
17094.3253234,5291.26036558,-7576.34278124,2437.93311044,-3326.47311841,-1525.90314631,-6877.44002457,1854.8544953,1822.53271449,2082.0215974,-2587.85951393,-844.079960538,-547.342163005,2990.98440464,3628.94946796,-2454.19151475,-3030.15055841,-387.351427764,4335.41692062,4687.27516894,-5935.60923815,7058.70978725,-3910.26495395,-2232.59890252,160.216188593,-593.298958677,3027.60836301,good_guy_greg
