0,1,2,3,4,5,6,7,8,9,10,11,label,12,13,14,15,16,17,18,19,20,21
18518.5805302,-11835.3169344,4722.25554914,-4930.34735782,-6886.08636645,-1331.60653778,-6324.61597457,-5164.68289221,1536.8292089,17286.5322565,-6481.95191447,-514.13463574,lazy_college_senior,1613.71946051,-5772.82745698,-2830.50399631,-2436.31969224,5123.35109167,6190.0294978,1858.22589524,-4708.01809187,2023.97331494,-7443.66341959
-18868.3769337,-11299.8166168,-8299.11477874,16686.5429276,2012.44717975,-3035.28249185,8607.27945974,-8688.28982563,1733.74054088,381.43589078,-1061.94969144,2843.49066712,advice_god,-616.80301363,-1563.50460778,527.916965268,-728.963363556,745.003768949,1055.01094131,787.496988551,-734.347401002,-690.963456321,-614.8159488
-2912.51660906,11726.6133083,168.983591947,-4224.60736022,-2487.7911518,437.854275673,480.884162756,-2264.30752295,216.38363895,-6724.49587992,-8865.12219906,-4453.798404,confession_bear,1451.86566368,-7163.04495933,2621.03792742,6027.4244874,-549.132349932,-1819.15065396,948.530614436,-2267.90352653,288.828511996,1583.94209015
2260.50226594,-12406.4650564,1216.34662722,-2375.36426865,-5467.54435775,-1599.76164585,-6582.93519072,829.279483177,1091.01520414,4966.43434627,3530.00750763,3627.77356625,evil_toddler,-1953.16637088,-4088.40562443,-3393.1063368,-923.540597862,-4212.64221121,-1813.57007588,-1381.04524046,3457.66074534,-558.208375731,2131.21705529
-15045.0128877,-2057.70192913,-4784.19221992,-4020.56928129,10313.5940579,4289.41811249,4218.45697323,6772.19034273,-2569.47003774,9136.89308204,987.412427507,-4900.7920799,college_liberal,4060.53552518,-247.334511327,2321.9291631,976.635005084,-2866.4251887,1218.37267235,-626.996869994,595.451546195,2797.00600699,440.108602641
-2873.69593751,11147.4963105,-8166.16951945,63.6114592001,-5505.21630826,17101.6953435,942.481989606,552.689661968,15609.6194272,-3536.09155443,2629.31307433,-1676.86126178,business_cat,715.608901388,1244.92558254,-4785.8646694,-835.948887767,3119.74976278,2996.91595787,812.532756735,3726.40326741,1738.63787911,-946.084326333
1563.46657983,-13827.1722716,1095.85912672,-1838.06373798,-5072.79995974,-887.637848211,-8446.37507915,1683.25067979,1222.81509934,6338.55215735,4096.60517556,3150.18893896,evil_toddler,-2520.20883023,-4620.10797908,-4949.23244517,-1440.87780394,-5531.23569516,-1338.82186336,-1255.94295427,5381.53498942,-2573.53157272,3040.05103242
34259.1518616,1913.54066847,-7140.07004686,6203.90353188,7998.81185106,3276.12604427,-3852.19844705,-1083.79351045,1814.03286994,2974.10586007,-1877.47843699,3885.57428164,unpopular_opinion_puffin,-2741.01083114,3527.04078792,6823.82509182,955.415130405,2900.33917526,-516.631462163,652.831370581,4503.48209827,4963.41889539,6435.97258753
-18719.8880375,-10941.97217,-7556.62953402,16255.9581292,1907.81372194,-2152.51272757,8332.36927946,-9526.00802928,2424.81166764,25.3532736337,-1860.55617089,3722.30355767,advice_god,-3443.550992,-290.548783002,958.679177591,-523.061140699,-1686.21291556,495.165786919,-790.062720263,-172.345233652,-3684.33079182,-288.302618034
-10176.8278779,-4936.95416184,-561.374236894,3186.01387865,-9722.08495799,-4682.4367546,-7289.81837418,-1328.88501892,-3693.97026163,-1729.42421694,9115.47189935,8225.50079649,religion_pigeon,16414.7235666,5059.22475361,-1014.68806231,12261.4568796,1333.98176078,3568.8910088,-3035.4967579,-2467.30925678,-14.2475438621,2872.09219131
-17078.8926755,-8717.39899518,-1064.5159182,-572.962589284,1509.22109622,1819.27964249,-1757.5803046,3561.33494165,-2419.70662259,505.384782007,1386.71174444,-799.096005097,minor_mistake_marvin,-1063.92762869,-917.372009196,-6030.88975386,2598.11275071,-5.9248978313,-4605.21791915,7394.961096,-1.1949174822,-741.25823202,-167.721540987
17094.3159022,5291.32360077,-7576.47083359,2439.0263884,-3327.35907738,-1523.86248782,-6886.50552539,1837.96089438,1788.15945472,2071.3244904,-2562.35834686,-873.566989715,good_guy_greg,-489.588546788,2719.83996537,3570.81531558,-2478.40189472,-2975.66404309,171.076807724,4580.2502921,-4328.7071978,-7369.6645776,5321.12205011
30393.3542151,-3799.74972459,-2208.53044572,4517.20167401,9843.62050208,2233.06189604,-1120.69440632,-3204.71075912,-4847.66795302,-4671.85517238,-1289.58884612,-3282.02993016,bad_joke_eel,4587.83390446,-129.456475545,-6924.94225885,387.803831822,-2140.10795885,-3644.85937489,-1623.60359276,-4738.02565239,2431.41021157,-6317.08745474
586.436155146,13322.8147755,-5690.07278782,-3503.06471334,-5266.78542223,1315.60247692,1131.6647843,-1602.93844502,265.123899615,-993.584054358,-2587.77892611,7174.49861524,good_guy_greg,7326.19341736,-1333.27540322,6396.51005985,-6732.57762042,-4632.16801943,-3943.19907888,-813.96890111,297.107017325,-1133.94187405,-1808.38617177
6412.4905857,20460.3084579,3226.34523717,-71.0770541238,-7991.1320659,215.127617282,3125.80787636,-7477.97041254,-8894.83141692,6966.69135663,2492.16718338,-3404.79596633,high_expectations_asian_father,-3474.66651738,6034.12595608,-2386.78160733,-1020.28771381,-1514.06595444,-996.370807136,4503.85541036,2205.21014028,5167.11342507,1005.47155439
-1957.36226285,11864.1501311,20.3997095666,-2053.18804316,-3685.18464147,5235.68441738,4563.53935162,606.337410576,-6079.65256182,2914.58504142,1988.11644712,-95.0926700775,philosoraptor,-1204.16539869,-4211.81697188,-373.464229615,-2444.63846133,6288.76945526,-1562.54234495,-6065.07258093,-2984.41500204,-2245.51737212,1986.98221256
-8378.68223492,4108.44607738,1969.79786037,-4904.70929028,-1620.96670845,-681.24059169,-1962.56307964,80.337072159,784.139195369,-1190.30444603,-7115.12925728,-3013.22560346,confession_bear,-4774.5951289,-3702.6654755,-2249.4959128,6492.86659314,-1701.57991547,-263.532587929,-5257.72218039,622.059277385,-2104.52356836,721.77428869
