0,1,2,3,4,5,6,label
18518.5541144,-11836.0047519,4718.59486925,-4932.72898907,-6897.72427254,-1351.88847315,-6202.2551728,lazy_college_senior
-18868.3985995,-11299.9739687,-8299.29062069,16689.0071767,2013.36966767,-3025.74649785,8585.92098924,advice_god
-2912.49241965,11727.1812923,167.002361525,-4234.32592492,-2485.0142134,455.885502186,369.0114024,confession_bear
2260.4665176,-12406.7865345,1219.83040176,-2379.85897394,-5483.72799351,-1658.77388882,-6449.82615447,evil_toddler
-15045.0044959,-2058.02415055,-4783.59860024,-4021.15994279,10302.7409205,4268.61972587,4337.08242912,college_liberal
-2873.52612133,11148.5648244,-8167.269027,62.4954779731,-5490.35651453,17151.0361853,790.729374763,business_cat
1563.50769703,-13826.9254033,1100.22941074,-1847.59977197,-5092.48576218,-938.390750963,-8313.26335918,evil_toddler
34259.1763207,1914.01841907,-7136.96413065,6195.18209887,8009.91447992,3275.58661735,-3863.31805095,unpopular_opinion_puffin
-18719.8871165,-10941.8522192,-7555.59406789,16252.4911302,1899.79724252,-2150.8700512,8319.37052351,advice_god
-10176.5214433,-4934.83450534,-565.507293335,3196.38223342,-9694.69648631,-4577.27355404,-7701.83113389,religion_pigeon
-17078.8932242,-8717.81100836,-1064.85282258,-553.121411426,1533.6370108,1853.93106339,-1855.67029506,minor_mistake_marvin
17094.2287768,5290.67378199,-7570.98430277,2432.57048217,-3362.47331497,-1567.27650365,-6733.52503039,good_guy_greg
30393.3067045,-3800.5419216,-2211.09410129,4529.02813741,9853.98490343,2257.81878055,-1199.41943336,bad_joke_eel
586.209144629,13321.0816311,-5685.25776445,-3512.08600204,-5311.6979886,1202.25839216,1485.8874429,good_guy_greg
6412.57157841,20460.137839,3230.4289464,-47.5745181448,-7966.84058874,257.389710411,3019.30593343,high_expectations_asian_father
-1957.4697114,11864.1787178,17.6305484914,-2078.48826613,-3694.90936476,5203.65419625,4712.63235427,philosoraptor
-8378.47267139,4110.22114761,1966.9195147,-4918.82320808,-1618.1055473,-674.487750704,-2084.5855711,confession_bear
-2197.83413863,11403.7891395,-8164.98966656,204.879435642,-5460.57196146,17358.7396341,1195.65521081,business_cat
93.1495504723,-14166.0227763,1856.74137,-2577.90253019,-5187.45303611,-1103.24798014,-6515.25214606,evil_toddler
11028.3068668,-17157.7515781,4820.48910792,-2296.58205086,-5890.52341366,-968.693518136,-7951.05277335,lazy_college_senior
-2479.41629079,1963.10583333,-1830.81723132,-1735.84017601,-4035.36068856,-651.155515054,-2254.47899061,overly_attached_girlfriend
-3011.76274306,11149.9607595,-8219.21578636,1648.72863181,-5346.26610952,16321.2594792,-741.013215287,business_cat
-20148.2460359,-15057.45521,2989.53323635,-3284.25244508,-46.2319368539,2710.08124681,-3287.26390874,first_day_on_the_internet_kid
11680.8047705,-16776.2727743,4025.29513654,-4206.2782859,-4779.46549911,-82.1750319712,-9524.5129656,lazy_college_senior
18486.950057,-13769.9937629,6776.64175875,-8975.94845312,-6646.38751865,-844.37645294,6757.68677216,sudden_clarity_clarence
-2221.69385135,11572.691617,31906.2914298,14785.3392167,1375.02758816,-1376.03062953,-2359.97800641,socially_awkward_penguin
-14259.9154587,-4966.41390046,-134.013079759,-7622.13690633,5231.45416228,-4636.32024558,-1356.30223668,sheltered_college_freshman
-3057.7353514,12062.9269577,4808.63819096,-8589.74421145,9239.04082065,-7870.80174688,2873.26509572,bad_luck_brian
15824.5462458,643.081664809,-14625.1524733,6703.78893714,-7009.25982725,-16256.0566564,2728.03108629,paranoid_parrot
-4216.96775998,7286.74314675,28540.816521,13297.862939,1634.71189351,-1154.15610467,-1040.59239368,socially_awkward_penguin
-13719.6412604,-6037.3982062,-52.6754345971,2.2448665962,-2112.03489763,-3206.32245943,-2755.97828971,overly_attached_girlfriend
-8442.9699421,-11509.3880715,5146.28888921,-7690.24508199,-6416.43715218,-1107.31845354,-2546.07736014,minor_mistake_marvin
-494.553620687,-6672.28933317,-3056.90548157,3250.38162071,-4030.48650528,106.997682389,-5074.65043955,evil_toddler
